m1 m2 m3 x1 v1 v2 T stability
0.811 0.752 1.000 -1.37392482922622e-01 2.48878577437993e+00 1.12841592649102e+00 5.22873543039823e+00 C
0.810 0.759 1.000 -1.36083494933947e-01 2.51405540815082e+00 1.55013760777926e-01 5.18922383675959e+00 C
0.801 0.757 1.000 -1.38127482449939e-01 2.49449020941541e+00 8.07091832776754e-01 5.20805522519794e+00 C
0.804 0.753 1.000 -1.35403044892740e-01 2.50166942864436e+00 1.25619328209454e+00 5.16910889659950e+00 D
0.815 0.754 1.000 -1.33615764657317e-01 2.49984199741074e+00 7.95268586283234e-01 5.20282706000422e+00 C
0.813 0.754 1.000 -1.35603874295272e-01 2.48670743427574e+00 -1.09826568596952e+00 5.21505587158903e+00 C
0.808 0.756 1.000 -1.35731071771412e-01 2.50051708642557e+00 1.10271204040227e+00 5.21732107256766e+00 C
0.802 0.756 1.000 -1.36055170028269e-01 2.50496963830956e+00 7.10519804974215e-01 5.23635844767066e+00 C
0.814 0.758 1.000 -1.35802174064302e-01 2.50258391005802e+00 8.57538103005882e-02 5.16598496620473e+00 C
0.814 0.754 1.000 -1.33982054874974e-01 2.50173637160299e+00 -3.72654313010995e-01 5.16812003063928e+00 C
0.811 0.757 1.000 -1.36716772904855e-01 2.49534470642132e+00 -4.15407601807709e-01 5.23633631506527e+00 C
0.803 0.753 1.000 -1.36082087880718e-01 2.48408589083544e+00 -3.30531007602156e-01 5.21068557662399e+00 C
0.803 0.759 1.000 -1.34905068899740e-01 2.51826451419277e+00 9.46990883634634e-01 5.21763131431989e+00 C
0.814 0.752 1.000 -1.36000462584167e-01 2.50051872426308e+00 1.26849460649170e+00 5.18447838765090e+00 D
0.814 0.758 1.000 -1.35569432305237e-01 2.50285415921793e+00 6.39771213100117e-01 5.22454486759111e+00 C
0.804 0.759 1.000 -1.34620091865836e-01 2.50415729305434e+00 3.33911070672610e-01 5.20253791253655e+00 C
0.800 0.757 1.000 -1.36627802104648e-01 2.49411757456560e+00 -3.89619096142808e-01 5.18201882443177e+00 C
0.802 0.751 1.000 -1.34801066967491e-01 2.51428678304639e+00 5.76292716232874e-01 5.19954600414152e+00 C
0.811 0.753 1.000 -1.33848247378339e-01 2.50520523712528e+00 -3.37044945593737e-01 5.19125872628193e+00 C
0.802 0.757 1.000 -1.36071833066920e-01 2.51715082813389e+00 8.31848242633448e-01 5.19048278432804e+00 C
0.803 0.755 1.000 -1.37009871204866e-01 2.49658223141815e+00 6.69929523250870e-02 5.21194459618454e+00 C
0.816 0.751 1.000 -1.37734478535652e-01 2.51594652386610e+00 3.07153349643084e-01 5.21460512652335e+00 C
