model,class,fpr,tpr,auc
LSTM,C,0.0,0.0,0.9911111111111112
LSTM,C,0.0,0.06666666666666667,0.9911111111111112
LSTM,C,0.0,0.8,0.9911111111111112
LSTM,C,0.03333333333333333,0.8,0.9911111111111112
LSTM,C,0.03333333333333333,0.9333333333333333,0.9911111111111112
LSTM,C,0.06666666666666667,0.9333333333333333,0.9911111111111112
LSTM,C,0.06666666666666667,1.0,0.9911111111111112
LSTM,C,1.0,1.0,0.9911111111111112
LSTM,D,0.0,0.0,1.0
LSTM,D,0.0,0.06666666666666667,1.0
LSTM,D,0.0,1.0,1.0
LSTM,D,1.0,1.0,1.0
LSTM,S,0.0,0.0,0.9933333333333334
LSTM,S,0.0,0.06666666666666667,0.9933333333333334
LSTM,S,0.0,0.8666666666666667,0.9933333333333334
LSTM,S,0.03333333333333333,0.8666666666666667,0.9933333333333334
LSTM,S,0.03333333333333333,0.9333333333333333,0.9933333333333334
LSTM,S,0.06666666666666667,0.9333333333333333,0.9933333333333334
LSTM,S,0.06666666666666667,1.0,0.9933333333333334
LSTM,S,1.0,1.0,0.9933333333333334
