model,class,fpr,tpr,auc
GRU,C,0.0,0.0,0.9955555555555555
GRU,C,0.0,0.5333333333333333,0.9955555555555555
GRU,C,0.0,0.9333333333333333,0.9955555555555555
GRU,C,0.06666666666666667,0.9333333333333333,0.9955555555555555
GRU,C,0.06666666666666667,1.0,0.9955555555555555
GRU,C,1.0,1.0,0.9955555555555555
GRU,D,0.0,0.0,0.9977777777777778
GRU,D,0.0,0.06666666666666667,0.9977777777777778
GRU,D,0.0,0.9333333333333333,0.9977777777777778
GRU,D,0.03333333333333333,0.9333333333333333,0.9977777777777778
GRU,D,0.03333333333333333,1.0,0.9977777777777778
GRU,D,1.0,1.0,0.9977777777777778
GRU,S,0.0,0.0,1.0
GRU,S,0.0,0.13333333333333333,1.0
GRU,S,0.0,0.26666666666666666,1.0
GRU,S,0.0,1.0,1.0
GRU,S,1.0,1.0,1.0
