model,class,fpr,tpr,auc
LSTM,C,0.0,0.0,0.9888888888888889
LSTM,C,0.0,0.06666666666666667,0.9888888888888889
LSTM,C,0.0,0.8,0.9888888888888889
LSTM,C,0.03333333333333333,0.8,0.9888888888888889
LSTM,C,0.03333333333333333,0.9333333333333333,0.9888888888888889
LSTM,C,0.1,0.9333333333333333,0.9888888888888889
LSTM,C,0.1,1.0,0.9888888888888889
LSTM,C,1.0,1.0,0.9888888888888889
LSTM,D,0.0,0.0,1.0
LSTM,D,0.0,0.06666666666666667,1.0
LSTM,D,0.0,1.0,1.0
LSTM,D,1.0,1.0,1.0
LSTM,S,0.0,0.0,0.9955555555555555
LSTM,S,0.0,0.06666666666666667,0.9955555555555555
LSTM,S,0.0,0.9333333333333333,0.9955555555555555
LSTM,S,0.06666666666666667,0.9333333333333333,0.9955555555555555
LSTM,S,0.06666666666666667,1.0,0.9955555555555555
LSTM,S,1.0,1.0,0.9955555555555555
